64952601,Concert Time! @ House of Blues Las Vegas https://t.co/9qAf4PgPT6,"[-115.17564919, 36.09302235]"
50706690,Cleared: Incident on #HOBLine,"[-74.02931, 40.735888]"
50706690,Cleared: Incident on #ToLine,"[-74.02931, 40.735888]"
50706690,Cleared: Incident on #WTCLine,"[-74.02931, 40.735888]"
2669983818,near bsgstblender: 9625ad7d-7e67-4273-85fc-ebabe07387e9,"[-80.0505398, 40.4313474]"
188141673,11pm: - #Parry Sound #Weather,"[-80.5208, 44.4333]"
267478172,"Last night’s Wynton Marsalis and the Lincoln Center Band was enthralling.  Got such great seats, too! So cool to se… https://t.co/5VAq5ponK7","[-90.2301, 38.6402]"
1464644293,Deeply satisfying taste &amp; rewarding dram of Grand Marnier Quintessence.. @ Elixir Spirits https://t.co/hgBlOUcfrc,"[-86.93973205, 35.74515931]"
16477002,"🚨 #visual #visualart 🚨📸.. @BiggHurra #TheDesign🎒.. Ft et_754  #COMINSOON 🎬 . 
ITS NOT DONE PART 2 COMIN SOON 🎥

Pro… https://t.co/xnZjb5M0h8","[-118.15262, 34.1659]"
4191239027,"0415Z
N951LA COUNTY OF LOS ANGELES
Squawk: 1206
N34.0560 W118.2982
Altitude: 800ft
Course: 115º
Groundspeed: 93kts","[-118.29815, 34.05599]"
546799972,The community that we created in my grad course on #hiphoped was simply beautiful. A big thanks to all the d.o.p.e.… https://t.co/yN7L9zpxTk,"[-71.12193, 42.37531]"
224010441,"I TOLD YOU SNOOPY WAS REAL!!!! @ Denver Harbor - Port Houston, Houston https://t.co/73bLkDEbtx","[-95.29544173, 29.76644364]"
3317110029,"#foil #nailart is also in style! ✨💅🏼✨

10% OFF (Mon-Wed, 10-2pm, Sun 11-2pm w/ FB/Yelp Check-in. 

BOOK YOUR APPOIN… https://t.co/ZSkKOCE883","[-80.36781558, 25.75660754]"
1.13048E+18,Drinking a Hopadillo IPA by @karbachbrewing @ Pinpoint — https://t.co/nGOSH3odHC,"[-94.1607, 36.0633]"
3665330315,Drinking a Celebration Fresh Hop IPA by @SierraNevada at @CRB_FL — https://t.co/caMqjslv70,"[-82.1238, 30.263]"
1.11431E+18,"#hairtips @ Selma, North Carolina https://t.co/PWDiMImzom","[-78.2846, 35.537]"
2319614654,Sonor tone was so nice in a church tonight. Great acoustics! #sonordrums #aquariandrumheads #vicfirthdrumsticks… https://t.co/UxTVQFORCB,"[-76.23541, 36.70621]"
25148565,Joe and troy coming to you from Tamp and Tap https://t.co/iY8RFbH4ai,"[-90.0519956, 35.1482478]"
2324451703,"Hi! I'm Prince Charming!

#adoptable #austinpetsalive #dogsof512 #prince #atxdogs 
#TOPdogready #ihaveskills… https://t.co/OMUdmb6mH3","[-97.75981518, 30.26966204]"
6834712,Another batch of #estatesale items. Especially living for this couple on the box of chair covers. #vintage #fonts… https://t.co/nLRSNQL4WM,"[-74.1671, 40.9986]"
36889106,"This is my time to rise
Dark horse.
I'll fight my way to the top
You will never be the thorn in my side
Dark horse.… https://t.co/3uoMPCh0fU","[-95.9304, 41.2557]"
162805587,#FirstDaughter #PreachersKidFlo #DaughterOfApastor #ChurchSwagg Celebrating My Pastor Rev Dr. Carl E Keels &amp; My Fir… https://t.co/j6MTPZBPo9,"[-76.90851433, 38.90182519]"
3422574075,#milanomenswear1 #plymouthmeetingpa #plymouthmeetingmall #call6103971900 #menswear #men #suits #blazer #suitstyle… https://t.co/FnQU7Av5Kv,"[-75.28163917, 40.11632854]"
2798308393,"See our latest #CharterTwpofClinton, MI job and click to apply: Support Cashier - https://t.co/J2UwzTeTXf #Retail","[-82.9195514, 42.5868882]"
34550711,"Love me some her !!!! @ Yadkinville, North Carolina https://t.co/fed8t1DsgQ","[-80.6609, 36.1327]"
8527662,"I'm at The @PinkDoorSeattle in Seattle, WA https://t.co/D1FLmshNHO","[-122.34257536, 47.61021902]"
36600407,"Look who we found!! 🤭

___________________________________________
#disney #disneysanimalkingdom #mickeymouse… https://t.co/ld1TIo0OE9","[-81.59201391, 28.35966003]"
979366892,"There’s something for everyone at First Friday’s! Stop by for 200 works under $200
This is a great opportunity fo s… https://t.co/ZdSgRMKQgi","[-94.585763, 39.091248]"
6512432,"Full Moon Fever, week one of @AllTmrwsPetty’s December residency at @TurfClubMN https://t.co/AlgSJQyMVA","[-93.16801196, 44.95584106]"
84125226,"I really don’t even need a caption for this one. I just love how miguel really just gives his all, every performanc… https://t.co/rIkd8U0VJD","[-118.334233, 34.155694]"
4078146875,"Very proud of our coaches and kids for being selected! Go Knights!! @ Chicago, Illinois https://t.co/9dfrtAwu72","[-87.632496, 41.883222]"
40873333,"This Sunday. FREE. At Trade! 

You asked for it, and we are proud to provide it...THIS SUNDAY, come play with us an… https://t.co/XYz5YD32he","[-77.03236, 38.90926]"
17904317,"Dramatic stare #eyecontact #eyes #stare #dramaticstare #eyebrows #CassByTDA @ Phoenix, Arizona https://t.co/WwnZC46A7m","[-112.0777, 33.4482]"
9.57861E+17,First trip to the Portland Art Museum with friends (whose insta handles I don’t have memorized) here is a sign and… https://t.co/Zmd6aGBrkH,"[-122.68357, 45.51625]"
1.1303E+18,"3 Bunker Hill Court, Boston https://t.co/MTuvpgW86Z","[-71.0669427, 42.380724]"
